superkingdom;phylum;class;order;family;genus;species;;Eau18S;Normalisation (%);Sol18S;Normalisation (%)
ASV_6;Eukaryota;Nematoda;Chromadorea;Rhabditida;Thelastomatidae;Thelastoma;Thelastoma krausi;0;;0;
ASV_27;Eukaryota;NA;NA;NA;NA;NA;NA;67;;2319;
ASV_14;Eukaryota;Porifera;Demospongiae;Poecilosclerida;Cladorhizidae;Asbestopluma;NA;0;;0;
ASV_21;Eukaryota;NA;NA;Ancyromonadida;Planomonadidae;Fabomonas;Fabomonas tropica;0;;2280;
ASV_46;Eukaryota;Evosea;Variosea;Fractovitellida;Schizoplasmodiidae;Ceratiomyxella;Ceratiomyxella tahitiensis;4;;2427;
ASV_37;Eukaryota;NA;Aphelidea;NA;NA;Amoeboaphelidium;Amoeboaphelidium occidentale;0;;193;
ASV_63;Eukaryota;Bacillariophyta;Coscinodiscophyceae;Corethrales;Corethraceae;Corethron;Corethron hystrix;0;;127;
ASV_107;Eukaryota;Evosea;Variosea;NA;NA;Phalansterium;Phalansterium solitarium;5;;98;
ASV_79;Eukaryota;Chytridiomycota;Chytridiomycetes;NA;NA;NA;NA;0;;19;
ASV_40;Eukaryota;Ascomycota;Saccharomycetes;Saccharomycetales;NA;NA;NA;0;;51;
ASV_44;Eukaryota;Rotifera;Eurotatoria;Adinetida;Adinetidae;Adineta;Adineta vaga;10;;0;
ASV_43;Eukaryota;Nematoda;Chromadorea;Rhabditida;Neodiplogasteridae;Pristionchus;Pristionchus pacificus;0;;0;
ASV_73;Eukaryota;Mucoromycota;Mortierellomycetes;Mortierellales;Mortierellaceae;NA;NA;72;;313;
ASV_214;Eukaryota;Cryptomycota;NA;NA;NA;Paramicrosporidium;Paramicrosporidium saccamoebae;16;;210;
ASV_133;Eukaryota;Ascomycota;NA;NA;NA;NA;NA;10;;145;
ASV_83;Eukaryota;Mucoromycota;Mortierellomycetes;Mortierellales;Mortierellaceae;Podila;Podila clonocystis;0;;0;
ASV_52;Eukaryota;Chytridiomycota;Chytridiomycetes;Lobulomycetales;Lobulomycetaceae;Clydaea;Clydaea vesicula;41;;1256;
ASV_64;Eukaryota;Ciliophora;Oligohymenophorea;NA;NA;NA;NA;0;;153;
ASV_217;Eukaryota;Apicomplexa;Conoidasida;Neogregarinorida;Syncystidae;Syncystis;Syncystis mirabilis;0;;44;
ASV_245;Eukaryota;NA;Chrysophyceae;Chromulinales;Chromulinaceae;Ochromonas;Ochromonas distigma;427;;92;
ASV_23;Eukaryota;Annelida;Polychaeta;Terebellida;Acrocirridae;NA;NA;0;;4342;
ASV_147;Eukaryota;Chytridiomycota;Chytridiomycetes;NA;Quaeritorhizaceae;Quaeritorhiza;Quaeritorhiza haematococci;0;;215;
ASV_8;Eukaryota;Nematoda;Chromadorea;Rhabditida;NA;NA;NA;0;;16305;
ASV_108;Eukaryota;Nematoda;Chromadorea;Rhabditida;Teratocephalidae;Teratocephalus;Teratocephalus lirellus;0;;0;
ASV_209;Eukaryota;Apicomplexa;Conoidasida;Eugregarinorida;Sphaerocystidae;Paraschneideria;Paraschneideria metamorphosa;0;;0;
ASV_9;Eukaryota;Nematoda;Chromadorea;Rhabditida;Diplogasteridae;Neodiplogaster;Neodiplogaster acaloleptae;0;;16443;
ASV_122;Eukaryota;Porifera;Calcarea;Clathrinida;Leucettidae;Pericharax;Pericharax heteroraphis;0;;0;
ASV_13;Eukaryota;Tubulinea;Elardia;Euamoebida;Hartmannellidae;Nolandella;Nolandella abertawensis;0;;2581;
ASV_157;Eukaryota;NA;Centroplasthelida;Pterocystida;Pterocystidae;Chlamydaster;Chlamydaster sterni;253;;1033;
ASV_69;Eukaryota;Nematoda;Chromadorea;Monhysterida;Monhysteridae;Monhystera;Monhystera paludicola;0;;2170;
ASV_153;Eukaryota;Ciliophora;Spirotrichea;Stichotrichida;Spirofilidae;Stichotricha;Stichotricha aculeata;0;;0;
ASV_229;Eukaryota;Ciliophora;Colpodea;Colpodida;Colpodidae;Colpoda;Colpoda inflata;0;;182;
ASV_49;Eukaryota;NA;Choanoflagellata;Acanthoecida;Acanthoecidae;Acanthoeca;Acanthoeca spectabilis;0;;17;
ASV_208;Eukaryota;Evosea;Variosea;NA;Flamellidae;Telaepolella;Telaepolella tubasferens;0;;321;
ASV_138;Eukaryota;NA;Bigyra;Thraustochytrida;Thraustochytriaceae;Aplanochytrium;Aplanochytrium kerguelense;0;;295;
ASV_321;Eukaryota;Evosea;Variosea;NA;NA;Ischnamoeba;Ischnamoeba montana;0;;83;
ASV_194;Eukaryota;Chytridiomycota;Chytridiomycetes;Rhizophydiales;Uebelmesseromycetaceae;Uebelmesseromyces;Uebelmesseromyces harderi;173;;153;
ASV_277;Eukaryota;Chytridiomycota;Chytridiomycetes;Chytridiales;Chytridiaceae;Dendrochytridium;Dendrochytridium crassum;0;;32;
ASV_256;Eukaryota;Apicomplexa;Conoidasida;Eucoccidiorida;Cryptosporidiidae;Cryptosporidium;Cryptosporidium struthionis;0;;162;
ASV_185;Eukaryota;NA;Chrysophyceae;Chromulinales;Dinobryaceae;Dinobryon;Dinobryon divergens;0;;58;
ASV_165;Eukaryota;NA;Chrysophyceae;Chromulinales;Paraphysomonadaceae;Paraphysomonas;Paraphysomonas imperforata;61;;1606;
ASV_297;Eukaryota;NA;Aphelidea;NA;Aphelidiaceae;Aphelidium;Aphelidium desmodesmi;0;;70;
ASV_26;Eukaryota;NA;Bigyra;Amphifilida;NA;Sorodiplophrys;Sorodiplophrys stercorea;823;;1006;
ASV_101;Eukaryota;Mucoromycota;Mortierellomycetes;Mortierellales;Mortierellaceae;Mortierella;Mortierella polygonia;0;;320;
ASV_179;Eukaryota;Ciliophora;Colpodea;Sorogenida;Sorogenidae;Sorogena;Sorogena stoianovitchae;0;;622;
ASV_66;Eukaryota;Oomycota;NA;Pythiales;Pythiaceae;Globisporangium;Globisporangium attrantheridium;0;;7;
ASV_38;Eukaryota;NA;Bigyra;Bicosoecida;Siluaniidae;Filos;Filos agilis;0;;96;
ASV_171;Eukaryota;Mucoromycota;Mortierellomycetes;Mortierellales;Mortierellaceae;Podila;Podila epicladia;0;;3;
