"superkingdom";"phylum";"class";"order";"family";"genus";"species";"CMM.ITS_S86_L001_R1";"Compost.MB.ITS_S85_L001_R1";"Compost.R.ITS_S84_L001_R1";"Eau.GT.ITS_S81_L001_R1";"JusPatate.XT.ITS_S83_L001_R1";"Sol.GT.ITS_S82_L001_R1"
"ASV_9";"Eukaryota";"Ascomycota";"Sordariomycetes";"Sordariales";"Chaetomiaceae";"Humicola";NA;16196;390;0;11;0;1505
"ASV_16";"Eukaryota";"Ascomycota";"Sordariomycetes";"Glomerellales";"Plectosphaerellaceae";"Gibellulopsis";"Gibellulopsis simonii";9768;231;0;721;0;1205
"ASV_12";"Eukaryota";"Ascomycota";"Sordariomycetes";"Glomerellales";"Plectosphaerellaceae";"Sodiomyces";NA;9018;3;0;0;0;71
"ASV_43";"Eukaryota";"Ascomycota";"Sordariomycetes";"Ophiostomatales";"Ophiostomataceae";"Sporothrix";"Sporothrix chilensis";7761;0;0;0;44;14
"ASV_3";"Eukaryota";"Ascomycota";"Eurotiomycetes";"Eurotiales";"Aspergillaceae";"Penicillium";NA;7051;1171;0;212;55781;2631
"ASV_14";"Eukaryota";"Ascomycota";"Dothideomycetes";"Eremomycetales";"Eremomycetaceae";"Arthrographis";"Arthrographis kalrae";5489;97;0;0;0;6774
"ASV_28";"Eukaryota";"Ascomycota";"Sordariomycetes";"Cephalothecales";"Cephalothecaceae";"Phialemonium";"Phialemonium inflatum";4022;3823;0;0;0;875
"ASV_35";"Eukaryota";"Ascomycota";"Sordariomycetes";"Microascales";"Microascaceae";"Enterocarpus";"Enterocarpus grenotii";4016;3244;0;41;0;146
"ASV_32";"Eukaryota";"Ascomycota";"Eurotiomycetes";"Eurotiales";"Aspergillaceae";"Aspergillus";"Aspergillus fumigatus";3782;81;0;53;0;199
"ASV_42";"Eukaryota";"Ascomycota";"Eurotiomycetes";"Onygenales";"Onygenaceae";"Chrysosporium";"[Chrysosporium] lobatum";3753;0;0;0;0;4
"ASV_81";"Eukaryota";"Ascomycota";"Sordariomycetes";"Microascales";"Microascaceae";"Cephalotrichum";"Cephalotrichum stemonitis";2953;5;0;0;0;42
"ASV_44";"Eukaryota";"Ascomycota";"Sordariomycetes";"Microascales";"Microascaceae";"Scopulariopsis";"Scopulariopsis cordiae";2869;3;0;0;0;9
"ASV_76";"Eukaryota";"Ascomycota";"Pezizomycetes";"Pezizales";"Tuberaceae";"Tuber";"Tuber castilloi";2530;0;0;0;0;0
"ASV_95";"Eukaryota";"Ascomycota";"Sordariomycetes";"Hypocreales";"Hypocreaceae";"Trichoderma";NA;2406;777;0;0;56;1554
"ASV_62";"Eukaryota";"Ascomycota";"Eurotiomycetes";"Eurotiales";"Trichocomaceae";"Talaromyces";"Talaromyces clemensii";2346;13;0;0;0;41
"ASV_168";"Eukaryota";"Ascomycota";"Sordariomycetes";"Microascales";"Microascaceae";"Kernia";"Kernia anthracina";1987;0;0;0;0;0
"ASV_64";"Eukaryota";"Ascomycota";"Sordariomycetes";"Hypocreales";"Nectriaceae";"Fusarium";"Fusarium foetens";1850;478;7;96;111;601
"ASV_71";"Eukaryota";"Ascomycota";"Sordariomycetes";"Hypocreales";NA;"Hapsidospora";"Hapsidospora irregularis";1808;0;0;0;0;5
"ASV_85";"Eukaryota";"Ascomycota";"Sordariomycetes";"Ophiostomatales";"Ophiostomataceae";NA;NA;1781;0;0;0;0;0
"ASV_94";"Eukaryota";"Ascomycota";"Sordariomycetes";"Hypocreales";"Nectriaceae";"Fusarium";NA;1729;139;0;18;0;2309
"ASV_70";"Eukaryota";"Ascomycota";"Sordariomycetes";"Hypocreales";"Bionectriaceae";"Clonostachys";"Clonostachys solani";1667;4;0;0;0;172
"ASV_134";"Eukaryota";"Ascomycota";"Sordariomycetes";"Glomerellales";"Plectosphaerellaceae";"Chordomyces";"Chordomyces antarcticum";1620;131;0;28;0;52
"ASV_99";"Eukaryota";"Ascomycota";"Sordariomycetes";"Microascales";"Microascaceae";"Petriella";"Petriella guttulata";1592;1;0;0;0;3
"ASV_123";"Eukaryota";"Ascomycota";"Eurotiomycetes";"Eurotiales";"Aspergillaceae";"Aspergillus";"Aspergillus creber";1427;0;0;0;0;28
"ASV_15";"Eukaryota";"Ascomycota";"Sordariomycetes";"Sordariales";"Chaetomiaceae";"Botryotrichum";"Botryotrichum spirotrichum";1420;819;0;1;0;5813
"ASV_248";"Eukaryota";"Ascomycota";"Eurotiomycetes";"Eurotiales";"Aspergillaceae";"Aspergillus";NA;1316;306;0;21;0;354
"ASV_149";"Eukaryota";"Ascomycota";"Sordariomycetes";"Microascales";"Microascaceae";"Microascus";NA;1313;0;0;0;0;128
"ASV_133";"Eukaryota";"Ascomycota";"Sordariomycetes";"Sordariales";"Chaetomiaceae";NA;NA;1284;88;0;0;0;50
"ASV_107";"Eukaryota";"Ascomycota";"Sordariomycetes";"Hypocreales";"Bionectriaceae";"Waltergamsia";"Waltergamsia hennebertii";1249;0;0;0;0;0
"ASV_151";"Eukaryota";"Ascomycota";"Sordariomycetes";"Microascales";"Microascaceae";"Acaulium";"Acaulium acremonium";1243;58;0;11;0;0
"ASV_111";"Eukaryota";"Ascomycota";"Sordariomycetes";"Sordariales";"Chaetomiaceae";"Staphylotrichum";NA;1219;0;0;0;0;0
"ASV_130";"Eukaryota";"Ascomycota";"Sordariomycetes";"Microascales";"Microascaceae";"Parascedosporium";"Parascedosporium putredinis";1185;15;0;0;0;7
"ASV_199";"Eukaryota";"Ascomycota";"Sordariomycetes";"Microascales";"Microascaceae";"Wardomyces";"Wardomyces humicola";1104;0;0;0;0;525
"ASV_194";"Eukaryota";"Ascomycota";"Dothideomycetes";"Pleosporales";"Neopyrenochaetaceae";"Neopyrenochaeta";"Neopyrenochaeta acicola";1082;319;0;19;0;136
"ASV_87";"Eukaryota";"Ascomycota";"Sordariomycetes";"Hypocreales";"Nectriaceae";"Fusarium";"Fusarium tonkinense";1031;223;0;0;0;261
"ASV_145";"Eukaryota";"Ascomycota";"Eurotiomycetes";"Eurotiales";"Trichocomaceae";"Talaromyces";"Talaromyces columbinus";1021;0;0;0;0;0
"ASV_105";"Eukaryota";"Ascomycota";"Leotiomycetes";NA;"Pseudeurotiaceae";"Geomyces";"Geomyces auratus";984;50;0;0;0;2002
"ASV_165";"Eukaryota";"Ascomycota";"Sordariomycetes";NA;"Amplistromataceae";"Wallrothiella";"Wallrothiella gmelinae";911;0;0;0;0;0
"ASV_11";"Eukaryota";"Ascomycota";"Leotiomycetes";NA;"Pseudeurotiaceae";"Pseudogymnoascus";"Pseudogymnoascus destructans";898;12518;0;0;26;1907
"ASV_57";"Eukaryota";"Ascomycota";"Sordariomycetes";"Sordariales";"Chaetomiaceae";"Chaetomium";NA;886;35;0;0;0;2160
"ASV_177";"Eukaryota";"Ascomycota";"Sordariomycetes";"Glomerellales";"Plectosphaerellaceae";"Sodiomyces";"Sodiomyces tronii";858;0;0;0;0;20
"ASV_96";"Eukaryota";"Ascomycota";"Sordariomycetes";"Sordariales";"Chaetomiaceae";"Chaetomium";"Chaetomium novozelandicum";856;0;0;1;0;509
"ASV_189";"Eukaryota";"Ascomycota";"Eurotiomycetes";"Eurotiales";"Trichocomaceae";"Talaromyces";NA;836;0;0;0;16;259
"ASV_226";"Eukaryota";"Chytridiomycota";"Chytridiomycetes";"Polychytriales";NA;"Polychytrium";"Polychytrium aggregatum";822;0;0;48;0;6
"ASV_155";"Eukaryota";"Ascomycota";"Eurotiomycetes";"Eurotiales";"Aspergillaceae";"Penicillium";"Penicillium glandicola";818;0;0;0;0;0
"ASV_146";"Eukaryota";"Ascomycota";"Sordariomycetes";"Hypocreales";"Nectriaceae";"Dactylonectria";NA;796;0;0;34;0;28
"ASV_104";"Eukaryota";"Ascomycota";"Sordariomycetes";"Microascales";"Microascaceae";"Scedosporium";"Scedosporium apiospermum";785;0;0;0;0;926
"ASV_157";"Eukaryota";"Ascomycota";"Sordariomycetes";"Microascales";"Microascaceae";"Petriellopsis";"Petriellopsis africana";785;0;0;0;0;0
"ASV_158";"Eukaryota";"Ascomycota";"Leotiomycetes";"Helotiales";"Helotiaceae";"Dimorphospora";"Dimorphospora foliicola";784;0;0;0;0;0
"ASV_135";"Eukaryota";"Ciliophora";"Spirotrichea";"Sporadotrichida";"Oxytrichidae";"Pseudogastrostyla";"Pseudogastrostyla sp. YH-2018a";780;971;0;14;0;323
"ASV_331";"Eukaryota";"Ascomycota";"Sordariomycetes";"Microascales";"Microascaceae";"Cephalotrichum";"Cephalotrichum dendrocephalum";778;0;0;0;0;296
"ASV_50";"Eukaryota";"Ascomycota";"Sordariomycetes";"Sordariales";"Chaetomiaceae";"Trichocladium";"Trichocladium seminis-citrulli";775;0;0;128;0;1669
"ASV_195";"Eukaryota";"Ascomycota";"Dothideomycetes";"Pleosporales";"Sporormiaceae";"Preussia";"Preussia flanaganii";767;0;0;0;0;178
"ASV_110";"Eukaryota";"Ascomycota";"Sordariomycetes";"Hypocreales";"Nectriaceae";"Fusarium";"[Neocosmospora] rubicola";755;64;0;11;0;421
"ASV_121";"Eukaryota";"Ascomycota";"Sordariomycetes";"Hypocreales";NA;"Bulbithecium";"Bulbithecium pinkertoniae";748;0;0;0;0;1050
"ASV_252";"Eukaryota";"Ascomycota";"Eurotiomycetes";"Eurotiales";"Trichocomaceae";"Talaromyces";"Talaromyces rubrifaciens";733;0;0;0;0;0
"ASV_204";"Eukaryota";"Ascomycota";"Sordariomycetes";"Sordariales";NA;"Ramophialophora";"Ramophialophora humicola";732;54;0;15;0;234
"ASV_288";"Eukaryota";"Ascomycota";"Sordariomycetes";"Glomerellales";"Plectosphaerellaceae";"Plectosphaerella";"Plectosphaerella oligotrophica";726;17;0;0;0;9
"ASV_260";"Eukaryota";"Ascomycota";"Leotiomycetes";NA;"Myxotrichaceae";"Oidiodendron";"Oidiodendron truncatum";720;0;0;0;0;0
"ASV_37";"Eukaryota";"Ascomycota";"Sordariomycetes";"Hypocreales";"Bionectriaceae";"Clonostachys";"Clonostachys rosea";719;56;0;105;17;2668
"ASV_29";"Eukaryota";"Ascomycota";"Eurotiomycetes";"Eurotiales";"Trichocomaceae";"Thermomyces";"Thermomyces dupontii";718;0;0;23;0;4604
"ASV_239";"Eukaryota";"Ascomycota";"Leotiomycetes";"Helotiales";"Vandijckellaceae";"Vandijckella";"Vandijckella johannae";679;203;0;0;0;22
"ASV_131";"Eukaryota";"Ascomycota";"Sordariomycetes";"Hypocreales";"Nectriaceae";"Fusarium";"Fusarium witzenhausenense";674;23;0;0;0;286
"ASV_39";"Eukaryota";"Ascomycota";"Sordariomycetes";"Sordariales";"Chaetomiaceae";"Thermothelomyces";"Thermothelomyces guttulatus";667;0;0;0;0;3370
"ASV_180";"Eukaryota";"Basidiomycota";"Agaricomycetes";"Agaricales";NA;NA;NA;612;2;0;90;0;0
"ASV_203";"Eukaryota";"Ascomycota";"Sordariomycetes";"Xylariales";"Sporocadaceae";"Hyalotiella";"Hyalotiella spartii";603;0;0;0;0;0
"ASV_214";"Eukaryota";"Ascomycota";"Pezizomycetes";"Pezizales";"Pyronemataceae";NA;NA;582;0;0;0;0;0
"ASV_224";"Eukaryota";"Ascomycota";"Sordariomycetes";"Chaetosphaeriales";"Chaetosphaeriaceae";NA;NA;576;0;0;11;0;3
"ASV_4";"Eukaryota";"Ascomycota";"Dothideomycetes";"Cladosporiales";"Cladosporiaceae";"Cladosporium";NA;569;1157;0;316;22476;547
"ASV_383";"Eukaryota";"Ascomycota";NA;NA;NA;NA;NA;565;99;0;30;0;790
"ASV_97";"Eukaryota";"Ascomycota";"Sordariomycetes";"Glomerellales";"Plectosphaerellaceae";"Plectosphaerella";"Plectosphaerella niemeijerarum";560;693;0;0;0;555
"ASV_382";"Eukaryota";"Ascomycota";"Sordariomycetes";"Chaetosphaeriales";"Chaetosphaeriaceae";"Chloridium";"Chloridium submersum";554;0;0;0;0;11
"ASV_216";"Eukaryota";"Ascomycota";"Eurotiomycetes";"Eurotiales";"Aspergillaceae";"Penicillium";"Penicillium jugoslavicum";551;0;0;0;0;0
"ASV_244";"Eukaryota";"Ascomycota";"Sordariomycetes";"Hypocreales";"Nectriaceae";"Cosmospora";"Cosmospora sp. IMI 133984";550;0;0;0;0;0
"ASV_27";"Eukaryota";"Ascomycota";"Dothideomycetes";"Pleosporales";"Didymellaceae";NA;NA;519;346;0;153;7545;73
"ASV_263";"Eukaryota";"Ascomycota";"Dothideomycetes";"Pleosporales";"Dictyosporiaceae";"Dictyocheirospora";"Dictyocheirospora aquadulcis";507;0;0;0;0;0
"ASV_289";"Eukaryota";"Ascomycota";"Dothideomycetes";"Pleosporales";"Amorosiaceae";"Amorocoelophoma";"Amorocoelophoma cassiae";502;39;0;0;0;0
"ASV_132";"Eukaryota";"Ascomycota";"Sordariomycetes";"Microascales";"Halosphaeriaceae";"Cirrenalia";"Cirrenalia iberica";490;0;0;26;0;1249
"ASV_306";"Eukaryota";"Ascomycota";"Sordariomycetes";"Hypocreales";"Nectriaceae";"Neonectria";NA;475;0;0;0;0;0
"ASV_261";"Eukaryota";"Ascomycota";"Sordariomycetes";"Glomerellales";"Plectosphaerellaceae";"Brunneochlamydosporium";"Brunneochlamydosporium nepalense";470;0;0;0;0;2
"ASV_246";"Eukaryota";"Ascomycota";"Dothideomycetes";"Pleosporales";NA;"Aaosphaeria";"Aaosphaeria arxii";445;0;0;1;0;4
"ASV_166";"Eukaryota";"Ascomycota";"Eurotiomycetes";"Eurotiales";"Trichocomaceae";"Talaromyces";"Talaromyces neorugulosus";431;9;0;8;1064;139
"ASV_472";"Eukaryota";"Ascomycota";"Eurotiomycetes";"Eurotiales";"Aspergillaceae";"Penicillium";"Penicillium sexuale";426;0;0;0;0;0
"ASV_277";"Eukaryota";"Ascomycota";"Sordariomycetes";"Microascales";"Microascaceae";"Microascus";"Microascus cirrosus";405;0;0;0;0;0
"ASV_41";"Eukaryota";"Basidiomycota";"Tremellomycetes";"Trichosporonales";"Trichosporonaceae";"Apiotrichum";"Apiotrichum dulcitum";396;2756;0;25;0;34
"ASV_72";"Eukaryota";"Ascomycota";"Leotiomycetes";NA;"Pseudeurotiaceae";"Pseudeurotium";"Pseudeurotium bakeri";393;865;0;197;2;2270
"ASV_430";"Eukaryota";"Ascomycota";"Sordariomycetes";"Microascales";"Microascaceae";"Microascus";"Microascus atrogriseus";388;0;0;0;0;0
"ASV_286";"Eukaryota";"Ascomycota";"Sordariomycetes";"Microascales";"Microascaceae";"Petriella";"Petriella musispora";387;2;0;0;0;0
"ASV_320";"Eukaryota";"Ascomycota";"Sordariomycetes";"Microascales";"Halosphaeriaceae";"Remispora";"Remispora stellata";380;0;0;8;0;453
"ASV_21";"Eukaryota";"Ascomycota";"Pezizomycetes";"Pezizales";"Pyronemataceae";"Tricharina";"Tricharina praecox";379;3682;0;69;0;4237
"ASV_294";"Eukaryota";"Ascomycota";"Eurotiomycetes";"Eurotiales";"Aspergillaceae";"Penicillium";"Penicillium soppii";376;0;0;0;0;0
"ASV_218";"Eukaryota";"Mucoromycota";"Mortierellomycetes";"Mortierellales";"Mortierellaceae";"Podila";"Podila horticola";373;40;0;131;0;54
"ASV_333";"Eukaryota";"Ascomycota";"Sordariomycetes";"Glomerellales";"Plectosphaerellaceae";"Sodiomyces";"Sodiomyces alcalophilus";366;0;0;29;0;0
"ASV_352";"Eukaryota";"Ascomycota";"Sordariomycetes";"Microascales";"Microascaceae";"Gamsia";NA;362;5;0;0;0;40
"ASV_293";"Eukaryota";"Mucoromycota";"Mortierellomycetes";"Mortierellales";"Mortierellaceae";"Podila";"Podila epicladia";360;0;0;0;0;0
"ASV_84";"Eukaryota";"Basidiomycota";"Tremellomycetes";"Cystofilobasidiales";"Mrakiaceae";"Tausonia";"Tausonia pamirica";357;435;0;0;760;28
"ASV_299";"Eukaryota";"Ascomycota";"Dothideomycetes";"Pleosporales";"Pseudopyrenochaetaceae";"Pseudopyrenochaeta";"Pseudopyrenochaeta terrestris";353;13;0;0;0;7
"ASV_310";"Eukaryota";"Ascomycota";"Dothideomycetes";"Pleosporales";"Nigrogranaceae";"Nigrograna";"Nigrograna cangshanensis";342;0;0;33;0;0
"ASV_311";"Eukaryota";"Ascomycota";"Sordariomycetes";"Hypocreales";"Nectriaceae";"Ilyonectria";NA;342;65;0;0;0;0
"ASV_451";"Eukaryota";"Ascomycota";"Sordariomycetes";"Coniochaetales";"Coniochaetaceae";"Coniochaeta";"Coniochaeta africana";341;0;0;0;0;47
"ASV_510";"Eukaryota";"Ascomycota";"Sordariomycetes";"Hypocreales";"Nectriaceae";"Neonectria";"Neonectria shennongjiana";332;22;0;33;0;9
"ASV_184";"Eukaryota";"Ascomycota";"Eurotiomycetes";"Onygenales";NA;"Pseudoarthropsis";"Pseudoarthropsis crassispora";330;0;0;0;0;388
"ASV_337";"Eukaryota";"Ascomycota";"Sordariomycetes";"Hypocreales";"Nectriaceae";NA;NA;329;13;0;76;0;0
"ASV_255";"Eukaryota";"Ascomycota";"Sordariomycetes";"Hypocreales";"Nectriaceae";"Fusarium";"Fusarium venenatum";324;9;12;13;0;144
"ASV_270";"Eukaryota";"Ascomycota";"Leotiomycetes";"Helotiales";NA;"Chalara";"Chalara hyalocuspica";318;0;0;0;0;438
"ASV_334";"Eukaryota";"Ascomycota";"Leotiomycetes";"Helotiales";"Pleuroascaceae";"Venustampulla";"Venustampulla parva";312;0;0;0;0;0
"ASV_335";"Eukaryota";"Ascomycota";"Eurotiomycetes";"Onygenales";"Arachnomycetaceae";"Arachnomyces";"Arachnomyces jinanicus";310;0;0;0;0;0
"ASV_230";"Eukaryota";"Ascomycota";"Eurotiomycetes";"Eurotiales";"Aspergillaceae";"Penicillium";"Penicillium atramentosum";302;257;0;0;64;0
"ASV_345";"Eukaryota";"Ascomycota";"Eurotiomycetes";"Eurotiales";"Aspergillaceae";"Penicillium";"Penicillium soosanum";300;0;0;0;0;5
"ASV_528";"Eukaryota";"Ascomycota";"Sordariomycetes";"Hypocreales";"Nectriaceae";"Volutella";"Volutella salvadorae";300;4;0;0;28;17
"ASV_324";"Eukaryota";"Ascomycota";"Sordariomycetes";"Sordariales";"Chaetomiaceae";"Thermothielavioides";"Thermothielavioides terrestris";295;11;0;0;0;75
"ASV_2";"Eukaryota";"Basidiomycota";"Tremellomycetes";"Trichosporonales";"Trichosporonaceae";"Apiotrichum";NA;294;5594;0;114;30163;124
"ASV_354";"Eukaryota";"Ascomycota";"Eurotiomycetes";"Eurotiales";"Aspergillaceae";"Penicillium";"Penicillium hoeksii";291;0;0;0;0;0
"ASV_608";"Eukaryota";"Basidiomycota";"Agaricomycetes";"Sebacinales";"Serendipitaceae";"Serendipita";"Serendipita herbamans";291;75;0;0;0;290
"ASV_45";"Eukaryota";"Ascomycota";"Eurotiomycetes";"Eurotiales";"Aspergillaceae";"Penicillium";"Penicillium crustosum";290;156;0;8;2690;87
"ASV_355";"Eukaryota";"Ascomycota";"Eurotiomycetes";"Onygenales";"Arachnomycetaceae";"Arachnomyces";NA;290;0;0;0;0;0
"ASV_301";"Eukaryota";"Ascomycota";"Sordariomycetes";"Sordariales";"Schizotheciaceae";"Rinaldiella";"Rinaldiella pentagonospora";287;0;42;0;0;215
"ASV_88";"Eukaryota";"Ascomycota";"Eurotiomycetes";"Eurotiales";"Aspergillaceae";"Penicillium";"Penicillium bialowiezense";283;134;0;0;1365;180
"ASV_359";"Eukaryota";"Ascomycota";"Eurotiomycetes";"Eurotiales";"Trichocomaceae";"Talaromyces";"Talaromyces minioluteus";283;0;0;0;0;0
"ASV_515";"Eukaryota";"Ascomycota";"Saccharomycetes";"Saccharomycetales";"Phaffomycetaceae";"Barnettozyma";"[Candida] norvegica";281;0;0;0;0;0
"ASV_219";"Eukaryota";"Ascomycota";"Sordariomycetes";"Hypocreales";"Nectriaceae";"Fusicolla";"Fusicolla aquaeductuum";273;195;0;86;0;61
"ASV_374";"Eukaryota";"Ascomycota";"Eurotiomycetes";"Eurotiales";"Aspergillaceae";"Penicillium";"Penicillium roseopurpureum";272;0;0;0;0;0
"ASV_417";"Eukaryota";"Ascomycota";"Leotiomycetes";"Helotiales";"Dermateaceae";"Coleophoma";"Coleophoma xanthosiae";272;0;0;0;0;0
"ASV_366";"Eukaryota";"Ascomycota";"Sordariomycetes";"Microascales";"Microascaceae";"Microascus";"Microascus senegalensis";268;0;0;0;0;8
"ASV_663";"Eukaryota";"Ascomycota";"Sordariomycetes";"Hypocreales";"Nectriaceae";"Fusarium";"Fusarium robinianum";262;0;0;0;0;6
"ASV_129";"Eukaryota";NA;NA;NA;NA;NA;NA;259;623;0;7551;0;379
"ASV_463";"Eukaryota";"Ascomycota";"Leotiomycetes";NA;NA;"Scytalidium";"Scytalidium album";259;0;0;0;0;0
"ASV_292";"Eukaryota";"Ascomycota";"Sordariomycetes";"Hypocreales";"Nectriaceae";"Fusarium";"Fusarium solani";258;11;4;0;0;88
"ASV_381";"Eukaryota";"Ascomycota";"Sordariomycetes";"Microascales";"Microascaceae";"Cephalotrichum";"Cephalotrichum hinnuleum";258;0;0;0;0;0
"ASV_389";"Eukaryota";"Ascomycota";"Eurotiomycetes";"Eurotiales";"Trichocomaceae";"Talaromyces";"Talaromyces aspriconidius";252;0;0;0;0;0
"ASV_585";"Eukaryota";"Ascomycota";"Sordariomycetes";"Hypocreales";"Nectriaceae";"Mariannaea";"Mariannaea humicola";252;0;0;0;0;3
"ASV_614";"Eukaryota";"Ascomycota";"Eurotiomycetes";"Onygenales";"Arachnomycetaceae";"Arachnomyces";"Arachnomyces peruvianus";251;0;0;15;0;0
"ASV_342";"Eukaryota";"Chlorophyta";"Trebouxiophyceae";"Chlorellales";"Chlorellaceae";"Chlorella";"Chlorella sorokiniana";243;459;0;1469;0;683
"ASV_137";"Eukaryota";"Ascomycota";"Sordariomycetes";"Glomerellales";"Plectosphaerellaceae";"Plectosphaerella";"Plectosphaerella cucumerina";240;756;0;12;0;487
"ASV_227";"Eukaryota";"Ascomycota";"Dothideomycetes";"Pleosporales";"Didymosphaeriaceae";"Paraphaeosphaeria";"Paraphaeosphaeria neglecta";229;2;0;188;0;110
