tax_id,superkingdom,phylum,class,order,family,genus,species,CMM-16S_S43_L001_R1,Compost-MB-16S_S42_L001_R1,Compost-R-16S_S41_L001_R1,Eau-GT-16S_S38_L001_R1,JusPatate-XT-16S_S40_L001_R1,Sol-GT-16S_S39_L001_R1
28198,Bacteria,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Arcobacteraceae,Aliarcobacter,Aliarcobacter cryaerophilus,0,0,0,4877,0,0
29536,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Flavobacterium succinicans,0,0,0,3709,0,0
2519477,Bacteria,Cyanobacteriota,Cyanophyceae,Pleurocapsales,Hyellaceae,Pleurocapsa,Pleurocapsa fuliginosa,0,0,0,2614,0,0
2516559,Bacteria,Bacteroidota,Cytophagia,Cytophagales,Cytophagaceae,Aquirufa,Aquirufa antheringensis,0,0,0,2028,0,0
1293052,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Limnohabitans,Limnohabitans parvus,0,0,0,1865,0,0
323423,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Limnohabitans,Limnohabitans curvus,0,0,0,1840,0,0
172040,Bacteria,Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,Arthrobacter,Arthrobacter russicus,0,0,835,85,896,0
13687,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,,0,0,462,49,887,0
280093,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Flavobacterium granuli,0,0,0,1185,0,0
34073,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Variovorax,Variovorax paradoxus,0,24,550,28,573,0
1760,Bacteria,Actinomycetota,Actinomycetes,,,,,0,0,0,1164,0,0
1397514,Bacteria,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter movanagherensis,0,0,0,1120,0,0
1293052,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Limnohabitans,Limnohabitans parvus,0,0,0,1089,0,0
2025714,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Hydrogenophaga,Hydrogenophaga soli,0,0,0,1031,0,0
2789776,Bacteria,Actinomycetota,Acidimicrobiia,Acidimicrobiales,Iamiaceae,Actinomarinicola,Actinomarinicola tropica,1018,0,0,0,0,0
45401,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Hyphomicrobiaceae,,,900,0,0,0,0,107
